Video ID,Approx Duration (ms),Video Category,Video Description (Original),Channel ID,Tag 1,Tag 2,Tag 3,Tag 4,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
84c0FVVkcwo,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Rhetoric Man,Public,Processed,2024-10-21T22:56:07+00:00,2024-10-22T03:00:04+00:00
IF9Stx6tz4g,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Rhetoric Man,Public,Processed,2024-10-21T22:57:56+00:00,2024-10-23T04:00:15+00:00
I7wxLY4CPm0,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Nested Christ Truth,Public,Processed,2024-10-21T22:59:43+00:00,2024-10-22T05:00:10+00:00
5L3AgbcHpuU,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Harnessing Rhetoric,Public,Processed,2024-10-21T23:02:08+00:00,2024-10-22T06:00:02+00:00
qGeCjoW63hI,57000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Tiny Gitar Man,Public,Processed,2024-10-22T14:20:09+00:00,2024-10-22T14:20:43+00:00
t6vv8Mfgdlg,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,TinyGitarMan,Public,Processed,2024-10-22T14:31:43+00:00,2024-10-22T14:32:27+00:00
ZP3EhihBa3s,885000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,TravelinTrav: Tiny Gitar Man,Public,Processed,2024-10-22T19:36:53+00:00,2024-11-13T09:00:28+00:00
PXv9l0lDPKk,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,The White Man Who Explored Critical Race Theory and Feminism,Public,Processed,2024-10-22T19:37:43+00:00,2024-10-22T19:43:41+00:00
4mBwoeybrmg,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,I’m the Son of God,Public,Processed,2024-10-22T19:39:17+00:00,2024-10-22T20:30:00+00:00
AwlYRJXG5Ow,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,I Have Servants,Public,Processed,2024-10-22T19:41:12+00:00,2024-10-22T21:30:01+00:00
zDUbEJAs-_w,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,White Man Privilege,Public,Processed,2024-10-22T19:43:22+00:00,2024-10-22T22:30:12+00:00
Qbj7orWZTAI,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Abusive Relationship With G-d part 1,Public,Processed,2024-10-22T19:46:23+00:00,2024-10-23T00:00:13+00:00
ExGxpMgd0Ak,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Abusiv God Relationship part 2,Public,Processed,2024-10-22T19:48:05+00:00,2024-10-23T00:30:07+00:00
Fhb3jO5H3wQ,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Colonizer Colored Skin & Patriarchal Penises,Public,Processed,2024-10-22T19:50:45+00:00,2024-10-23T01:00:08+00:00
Lmeslm1LW_I,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,The Dirty Patriarch,Public,Processed,2024-10-22T19:53:01+00:00,2024-10-23T02:00:08+00:00
bFVkaOcYwEg,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,My Personal Peak of Pluralism,Public,Processed,2024-10-22T19:55:05+00:00,2024-10-23T03:00:32+00:00
FN0k-LJknR4,811000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Fearful Symmetry,Public,Processed,2024-10-23T15:22:47+00:00,2024-11-15T05:00:18+00:00
723_wtcy4a4,16000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,I know exactly who you are!,Public,Processed,2024-10-23T15:26:24+00:00,2024-10-29T06:22:17+00:00
Ln8Sz90MdMo,158000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Comments from the Peanut Gallery,Public,Processed,2024-10-23T18:04:45+00:00,2024-10-23T18:05:15+00:00
7zCfBSFpZlU,209000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Grafted Into the Vine,Public,Processed,2024-10-23T18:59:24+00:00,2024-10-23T19:08:43+00:00
tyhpKj6OTd8,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,Grafted Into The Vine,Public,Processed,2024-10-23T19:10:45+00:00,2024-10-24T00:11:23+00:00
zUF85khrxmE,399000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,The Vine,Public,Processed,2024-10-25T00:08:45+00:00,2024-10-25T00:17:59+00:00
y14P9r7fkOU,484000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,A Woke Communication,Public,Processed,2024-10-25T13:38:15+00:00,2024-10-25T13:39:11+00:00
rWmw6guEJrE,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,A Woke Communication,Public,Processed,2024-10-25T14:04:27+00:00,2024-10-25T14:04:55+00:00
En6wGpWZiT0,913000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,An Open Letter To My Family,Public,Processed,2024-10-29T00:36:33+00:00,2024-11-15T19:00:07+00:00
7vXfF1AWnqA,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,"Hey, TravelinTrav!",Public,Processed,2024-10-29T06:15:20+00:00,2024-10-29T12:17:24+00:00
JSh2ePFo93c,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,,,,,An Open Letter To My Family,Public,Processed,2024-10-29T06:17:19+00:00,2024-10-29T12:12:14+00:00
