Video ID,Approx Duration (ms),Video Category,Video Description (Original),Channel ID,Video Title (Original),Privacy,Video State,Video Create Timestamp,Video Publish Timestamp
srxlRESvQfo,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Ceremonial Wind Instruments,Public,Processed,2022-10-10T13:45:42+00:00,2022-10-10T13:46:22+00:00
lLpX79lxcM8,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Ceremonial Wind Instruments,Public,Processed,2022-10-10T13:52:00+00:00,2022-10-10T13:52:57+00:00
u45tSCSqzD8,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Light Chasing,Public,Processed,2022-10-10T15:21:10+00:00,2022-10-10T15:22:08+00:00
ZJDLF4qIogs,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Chasing the Light: Realizing one’s Self as Music,Public,Processed,2022-10-10T15:34:32+00:00,2022-10-10T15:35:11+00:00
5__2Of3zUfw,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Feeling left out?,Public,Processed,2022-10-10T16:42:41+00:00,2022-10-10T16:43:15+00:00
cODXptfhyis,61000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,What is an integral practice?,Public,Processed,2022-10-10T17:36:56+00:00,2022-10-10T17:37:36+00:00
ncEIJ_XvKpE,905000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Expression of Worth,Public,Processed,2022-10-11T06:04:38+00:00,2022-10-11T06:12:44+00:00
L5syVWB0gD8,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Yahweh. Breath of God.  I Am.,Public,Processed,2022-10-11T17:17:41+00:00,2022-10-11T17:18:17+00:00
8rRlZoB3Vt0,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Thank God,Public,Processed,2022-10-12T04:28:34+00:00,2022-10-12T04:29:15+00:00
NvlsXzBgyh0,59000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Scales and Arpeggios Made Easy,Public,Processed,2022-10-12T04:52:02+00:00,2022-10-12T04:52:45+00:00
FhyRvo_vFM4,58000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Scales and Arpeggios for beginners. Made easy,Public,Processed,2022-10-12T04:55:58+00:00,2022-10-12T04:56:21+00:00
TXJxdcK_AlE,60000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,L&tEoW,Public,Processed,2022-10-12T04:58:27+00:00,2022-10-12T04:59:02+00:00
rhlVMmPU7Xc,49000,Education,,UCUQkPM6zQzIs0B6HiSlXbwg,Scales and Arpeggios intermediate,Public,Processed,2022-10-12T05:37:35+00:00,2022-10-12T05:37:55+00:00
